UID,Avg Times,Avg Clicks,Count
Linux-Firefox-20413378530743365,145700, 43
Linux-Firefox-4613641800110675,54400.0,29.0,1
OS_X-Chrome-07433121120119068,51496.333333333336,36.0,6
OS_X-Chrome-11211410541487754,506886.0,51.0,1
OS_X-Chrome-1344993142807822,34031.84210526316,35.89473684210526,19
OS_X-Chrome-8420593626265545,67542.0,56.5,2
OS_X-Firefox-43629779305547933,95942.0,127.0,1
OS_X-Safari-07194168430676817,37800.8,55.4,5
Windows-Chrome-1359685760127698,67898.33333333333,130.33333333333334,3
Windows-Chrome-24650537647353143,13486.823529411764,30.294117647058822,17
Windows-Chrome-28187055538290684,35180.57142857143,27.142857142857142,7
Windows-Chrome-3026150838304542,69507.0,30.2,5
Windows-Chrome-456146287148979,33566.71428571428,29.428571428571427,7
Windows-Chrome-4784705012761161,35795.875,30.5,8
Windows-Chrome-5792285851379626,62526.5,67.33333333333333,6
Windows-Chrome-6343914066190897,40759.0,28.0,1
Windows-Chrome-7661377367047602,50856.444444444445,34.55555555555556,9
Windows-Chrome-8040723126527376,84352.0,76.0,1
Windows-Chrome-9370417540777136,46184.0,27.166666666666668,6
